Dataset,Tissue,Cell Type,GENE,log2FC,P Value
Xu G. (Lung),Lung,Alveolar type II cells,SPDEF,-0.286732638502495,3.52516612961299e-159
Xu G. (Lung),Lung,Alveolar type II cells,STC1,-0.31067882961932,6.71114479812589e-122
Xu G. (Lung),Lung,Alveolar type II cells,MUC21,-0.744504786390796,6.89327641311995e-122
Xu G. (Lung),Lung,Alveolar type II cells,RNF39,-0.331765222404228,9.0774736061954e-106
Xu G. (Lung),Lung,Alveolar type II cells,SCN1A,-0.484087307054764,2.86241715996796e-103
Xu G. (Lung),Lung,Alveolar type II cells,CFTR,-0.416717563646781,3.91347157407696e-100
Xu G. (Lung),Lung,Alveolar type II cells,FGG,-0.35331915559689,5.1380912388963e-96
Xu G. (Lung),Lung,Alveolar type II cells,RAB27B,0.414817819009106,4.27422233156631e-91
Xu G. (Lung),Lung,Alveolar type II cells,SLC46A2,-0.507510214768728,2.07581105945822e-82
Xu G. (Lung),Lung,Alveolar type II cells,RASD1,0.381395178031842,5.99908327898143e-78
Xu G. (Lung),Lung,Alveolar type II cells,HP,-0.303728952738926,1.08812638033987e-71
Xu G. (Lung),Lung,Alveolar type II cells,DMBT1,-0.372563347213114,8.69929892474307e-68
Xu G. (Lung),Lung,Alveolar type II cells,CFAP221,-0.285204625942857,1.83888910330675e-49
Xu G. (Lung),Lung,Alveolar type II cells,AQP4,0.305754703220331,6.87505265813326e-48
Xu G. (Lung),Lung,Alveolar type II cells,SFTPD,0.357047043067705,4.45359024251355e-47
Xu G. (Lung),Lung,Alveolar type II cells,VWA1,0.34876684854801,2.83435826936553e-39
Xu G. (Lung),Lung,Alveolar type II cells,PPP1R1B,-0.526696592778563,3.81186104526005e-36
Xu G. (Lung),Lung,Alveolar type II cells,GPRC5A,0.360927259430389,1.28890885936024e-34
Xu G. (Lung),Lung,Alveolar type II cells,CPB2,0.271312592326879,5.73442380627512e-34
Xu G. (Lung),Lung,Alveolar type II cells,SLC39A8,0.424882615166564,2.11084264885881e-33
Xu G. (Lung),Lung,Alveolar type II cells,GJA1,0.409581188257846,6.53969835501916e-32
Xu G. (Lung),Lung,Alveolar type II cells,CTSE,0.304663848517171,1.10617939604111e-28
Xu G. (Lung),Lung,Alveolar type II cells,ERRFI1,0.283135132183982,6.98662905657543e-28
Xu G. (Lung),Lung,Alveolar type II cells,LAD1,-0.315164067496996,1.97586780032649e-27
Xu G. (Lung),Lung,Alveolar type II cells,AARD,-0.306308076193707,2.27331741545791e-26
Xu G. (Lung),Lung,Alveolar type II cells,NECAB1,-0.32184558446356,2.4849818333519e-26
Xu G. (Lung),Lung,Alveolar type II cells,SHISA2,-0.368850288412418,5.20816501136534e-25
Xu G. (Lung),Lung,Alveolar type II cells,CCDC141,-0.3112256540784,1.2318928446924e-24
Xu G. (Lung),Lung,Alveolar type II cells,CYR61,0.30466340807946,1.45602912677331e-24
Xu G. (Lung),Lung,Alveolar type II cells,KRT18,0.343125279272279,1.19099020662269e-22
Xu G. (Lung),Lung,Alveolar type II cells,SLC6A14,0.560241992678874,1.6299893499878e-22
Xu G. (Lung),Lung,Alveolar type II cells,SFN,0.447169434419813,1.37915357517953e-20
Xu G. (Lung),Lung,Alveolar type II cells,ADGRF5,0.363417477116937,9.02833304304683e-20
Xu G. (Lung),Lung,Alveolar type II cells,SDC4,0.296289649107742,1.43439211968982e-19
Xu G. (Lung),Lung,Alveolar type II cells,PGC,-0.390505040558121,2.96781926576616e-18
Xu G. (Lung),Lung,Alveolar type II cells,RASGRF1,-0.364167731805638,3.76194485330702e-16
Xu G. (Lung),Lung,Alveolar type II cells,PLA2G10,-0.424773329745512,5.39829637932309e-16
Xu G. (Lung),Lung,Alveolar type II cells,MET,0.268969154058109,1.05039727102137e-15
Xu G. (Lung),Lung,Alveolar type II cells,MACROD2,-0.487399786728161,4.25027606006755e-15
Xu G. (Lung),Lung,Alveolar type II cells,TM4SF1,0.27523324594931,1.09549376448612e-13
Xu G. (Lung),Lung,Alveolar type II cells,HOXD1,-0.451346354946739,4.40918273849761e-13
Xu G. (Lung),Lung,Alveolar type II cells,ACADL,-0.342104360811077,5.37977333968861e-13
Xu G. (Lung),Lung,Alveolar type II cells,TCEA3,-0.295524174712871,1.64418785610166e-12
Xu G. (Lung),Lung,Alveolar type II cells,EVA1A,-0.46563152264757,2.40982146810635e-12
Xu G. (Lung),Lung,Alveolar type II cells,CRYM,-0.300779094604285,4.24532480307951e-12
Xu G. (Lung),Lung,Alveolar type II cells,GKN2,0.263678090972258,7.12649041198811e-11
Xu G. (Lung),Lung,Alveolar type II cells,KRT19,0.319611371483514,9.56201861971e-11
Xu G. (Lung),Lung,Alveolar type II cells,PON3,-0.305252388213822,2.40665996314178e-09
Xu G. (Lung),Lung,Alveolar type II cells,GSTA4,-0.299465328791245,9.54191016723113e-09
Xu G. (Lung),Lung,Alveolar type II cells,ETV1,0.262026611885612,8.48044614336948e-08
Xu G. (Lung),Lung,Alveolar type II cells,ZNF385B,-0.32760827744422,3.13813059707169e-07
Xu G. (Lung),Lung,Alveolar type II cells,HSD17B6,-0.302346269798165,7.31992987413942e-06
Xu G. (Lung),Lung,Alveolar type II cells,KRT8,0.260442507333959,1.33558436384287e-05
Xu G. (Lung),Lung,Alveolar type II cells,EMP2,0.299182536333939,9.30932402378462e-05
Xu G. (Lung),Lung,Alveolar type II cells,C16orf89,0.397580023095768,0.00122073826019929
Xu G. (Lung),Lung,Alveolar type II cells,EPHA2,0.27200215171721,0.00168172426952333
Xu G. (Lung),Lung,Alveolar type II cells,TFCP2L1,0.262635302073381,0.0107139395701854
Xu G. (Lung),Lung,Alveolar type II cells,SPRY4,0.341088682175043,0.0271057636769353
Xu G. (Lung),Lung,Alveolar type II cells,MLPH,0.466265206415189,0.0370430800939861
Xu G. (Lung),Lung,B cells,TNFSF9,-0.36219707407475,8.7371061168605e-83
Xu G. (Lung),Lung,B cells,CD1C,-0.62741118501546,1.53498974223058e-38
Xu G. (Lung),Lung,B cells,GDF11,-0.333335059355859,5.52991692770905e-35
Xu G. (Lung),Lung,B cells,TTN,0.289280503678909,9.98655305870837e-34
Xu G. (Lung),Lung,B cells,RASSF6,-0.790632280362573,8.33375815494609e-26
Xu G. (Lung),Lung,B cells,EBI3,0.362935430264299,7.33661489191581e-25
Xu G. (Lung),Lung,B cells,POU2AF1,0.370256236433529,2.42051448827188e-23
Xu G. (Lung),Lung,B cells,PNOC,-0.761993166620951,5.46597451846867e-22
Xu G. (Lung),Lung,B cells,CCDC141,0.359933995052433,4.88724804548484e-21
Xu G. (Lung),Lung,B cells,EBF1,0.338799275328296,1.99325685507454e-20
Xu G. (Lung),Lung,B cells,IL6,-0.26215023267497,3.92963033678508e-20
Xu G. (Lung),Lung,B cells,VPREB3,-0.665864262666896,7.64375938179598e-20
Xu G. (Lung),Lung,B cells,EAF2,0.307025229599521,6.5861596247447e-19
Xu G. (Lung),Lung,B cells,RHOXF1-AS1,-0.273806761468895,1.22316095062003e-15
Xu G. (Lung),Lung,B cells,RAB30,-0.260200518209335,5.8162250379363e-14
Xu G. (Lung),Lung,B cells,IGLC2,-0.550919832404309,1.19064064640455e-13
Xu G. (Lung),Lung,B cells,FCER2,-0.778796407519172,2.74486493096854e-13
Xu G. (Lung),Lung,B cells,CD79B,-0.272553289690444,1.00766458046823e-12
Xu G. (Lung),Lung,B cells,HSPA6,0.330909873867628,3.40582069041386e-12
Xu G. (Lung),Lung,B cells,CENPM,-0.793590673095505,4.52304992779804e-12
Xu G. (Lung),Lung,B cells,MIR155HG,0.310781296900288,6.04276397522351e-12
Xu G. (Lung),Lung,B cells,JCHAIN,-0.357260464815588,4.19831260095678e-08
Xu G. (Lung),Lung,B cells,ITM2C,-0.312289338186147,1.92227807856239e-07
Xu G. (Lung),Lung,B cells,IGHA1,-0.460561254060758,3.34855373599807e-07
Xu G. (Lung),Lung,B cells,IGHM,-0.690202993142216,5.42753273736761e-07
Xu G. (Lung),Lung,B cells,LINC01480,0.469474426699437,6.01488829958256e-07
Xu G. (Lung),Lung,B cells,FAM111B,-0.621942700443488,8.07521039388899e-07
Xu G. (Lung),Lung,B cells,HLA-DOA,0.272176430607985,7.9299195242925e-06
Xu G. (Lung),Lung,B cells,HLA-DMB,0.330429088999094,3.48010365410895e-05
Xu G. (Lung),Lung,B cells,CD69,-0.351644615040722,8.54728561100259e-05
Xu G. (Lung),Lung,B cells,TMEM213,0.636110945231163,0.000347944176493649
Xu G. (Lung),Lung,B cells,ZNF331,-0.410767612673744,0.000558993516200771
Xu G. (Lung),Lung,B cells,TNFRSF13B,-0.331028563470551,0.000998040414009454
Xu G. (Lung),Lung,B cells,LY9,-1.01733434481837,0.00109476441700008
Xu G. (Lung),Lung,B cells,BANK1,0.289832498510524,0.00275099713271498
Xu G. (Lung),Lung,B cells,HLA-DQA2,0.409004399008275,0.00294382465018253
Xu G. (Lung),Lung,B cells,MS4A1,0.740023069666762,0.00487166300783433
Xu G. (Lung),Lung,B cells,TPX2,0.268927389637007,0.0055499621974164
Xu G. (Lung),Lung,B cells,INSIG1,0.294655832448661,0.0117621367476593
Xu G. (Lung),Lung,B cells,PHGDH,0.272661166233442,0.0299292817552942
Xu G. (Lung),Lung,B cells,PKIG,0.37078352435965,0.0401540407670595
Xu G. (Lung),Lung,B cells,ODC1,-0.442919188557968,0.0436530291994403
Xu G. (Lung),Lung,Ciliated cells,DNAH11,-2.46395094490905,4.85324696433001e-117
Xu G. (Lung),Lung,Ciliated cells,DYNC2H1,-2.46062592280856,7.41455866554479e-111
Xu G. (Lung),Lung,Ciliated cells,FHAD1,-2.5235234613478,3.96929250212737e-98
Xu G. (Lung),Lung,Ciliated cells,SULT2B1,0.698168969624378,9.80713128577401e-95
Xu G. (Lung),Lung,Ciliated cells,CTXN1,-2.57110267952834,3.89228174530253e-88
Xu G. (Lung),Lung,Ciliated cells,EFCAB10,-2.53555124170541,1.1806696373091e-87
Xu G. (Lung),Lung,Ciliated cells,RGS22,-2.49038069716488,1.91258279106766e-87
Xu G. (Lung),Lung,Ciliated cells,ARMC3,-2.61754014577398,6.63366819959376e-87
Xu G. (Lung),Lung,Ciliated cells,SPAG8,-2.44468747921706,2.54216521102259e-84
Xu G. (Lung),Lung,Ciliated cells,TCTEX1D4,-2.50830347018143,3.68419609701972e-84
Xu G. (Lung),Lung,Ciliated cells,IGKC,0.659316863327122,5.60277719779457e-84
Xu G. (Lung),Lung,Ciliated cells,CASC1,-2.6449552597022,1.35912002521657e-83
Xu G. (Lung),Lung,Ciliated cells,EFCAB1,-2.59397820255075,1.86992398072092e-82
Xu G. (Lung),Lung,Ciliated cells,DNAH7,-2.647958801873,3.37017071615554e-81
Xu G. (Lung),Lung,Ciliated cells,TUBA4B,-2.63311111925081,3.1302175921485e-76
Xu G. (Lung),Lung,Ciliated cells,NEK10,-2.73986148678573,3.21407978983114e-76
Xu G. (Lung),Lung,Ciliated cells,CXCL8,0.580855687081521,5.84664225794913e-73
Xu G. (Lung),Lung,Ciliated cells,CAPSL,-2.50005522160587,9.13537976342699e-72
Xu G. (Lung),Lung,Ciliated cells,SPP1,0.755912793803887,1.07037733344561e-71
Xu G. (Lung),Lung,Ciliated cells,ROPN1L,-2.4716065482355,4.19034924467125e-71
Xu G. (Lung),Lung,Ciliated cells,CFAP54,-2.45262945850377,1.26385852414891e-70
Xu G. (Lung),Lung,Ciliated cells,SFTPA2,0.639740159997851,1.66546073762275e-70
Xu G. (Lung),Lung,Ciliated cells,STOML3,-2.55276708063337,2.99125607660849e-67
Xu G. (Lung),Lung,Ciliated cells,FAM166B,-2.44083546766103,8.96967936981518e-65
Xu G. (Lung),Lung,Ciliated cells,ANKRD66,-2.51425121840943,1.53010909289528e-63
Xu G. (Lung),Lung,Ciliated cells,CATSPERD,-2.59950807337688,1.28788826989514e-62
Xu G. (Lung),Lung,Ciliated cells,S100A8,0.499889922528236,3.52586497008018e-60
Xu G. (Lung),Lung,Ciliated cells,FAM183A,-2.70071253023437,1.09595436557271e-59
Xu G. (Lung),Lung,Ciliated cells,S100A9,0.619573379519196,1.86580437724526e-52
Xu G. (Lung),Lung,Ciliated cells,SFTPA1,0.581344030964993,1.82419693910838e-49
Xu G. (Lung),Lung,Ciliated cells,VIM,0.631470072929003,8.56252881864728e-47
Xu G. (Lung),Lung,Ciliated cells,HMOX1,0.478929282803576,4.01030330318347e-44
Xu G. (Lung),Lung,Ciliated cells,CCL2,0.494042397836038,9.81918806927529e-42
Xu G. (Lung),Lung,Ciliated cells,PLIN2,0.568758669816293,1.86010142043647e-39
Xu G. (Lung),Lung,Ciliated cells,FTL,0.583560163242086,1.85894034920715e-38
Xu G. (Lung),Lung,Ciliated cells,HBB,0.48587884008671,2.9777601860457e-37
Xu G. (Lung),Lung,Ciliated cells,CXCL3,0.584733727865088,1.69508243087847e-36
Xu G. (Lung),Lung,Ciliated cells,CXCL2,0.49500566127151,4.24675485804716e-36
Xu G. (Lung),Lung,Ciliated cells,LYZ,0.523820097428799,2.54635546980657e-34
Xu G. (Lung),Lung,Ciliated cells,SFTPC,0.444201527407132,6.89066320773052e-34
Xu G. (Lung),Lung,Ciliated cells,SLC11A1,0.503711540586825,2.71161819425316e-27
Xu G. (Lung),Lung,Ciliated cells,MMP19,0.466449176401985,1.13228007088295e-26
Xu G. (Lung),Lung,Ciliated cells,VEGFA,0.422806914929293,1.78378067237584e-18
Xu G. (Lung),Lung,Ciliated cells,RNASE2,0.458936259142102,1.48776820007761e-12
Xu G. (Lung),Lung,Club cells,AGER,-2.28199745590557,1.63911873781833e-187
Xu G. (Lung),Lung,Club cells,BPIFB1,0.354577111977788,1.04279997577518e-170
Xu G. (Lung),Lung,Club cells,ITGA3,-1.03795716660418,4.59700209443748e-154
Xu G. (Lung),Lung,Club cells,KRT4,-1.42219271569432,2.88583121808581e-144
Xu G. (Lung),Lung,Club cells,C4BPB,-0.9946166561803,4.15220970400109e-137
Xu G. (Lung),Lung,Club cells,TMEM45A,0.482234401840215,7.39975495941521e-122
Xu G. (Lung),Lung,Club cells,EMP2,-0.986183107017181,3.19831427164209e-110
Xu G. (Lung),Lung,Club cells,NTM,-1.20916852242817,2.2972094422262e-107
Xu G. (Lung),Lung,Club cells,LMO7,-1.40949986590018,1.72390912762201e-99
Xu G. (Lung),Lung,Club cells,SFTPA2,0.35341573842951,1.1562157087404e-96
Xu G. (Lung),Lung,Club cells,CTSE,-1.32786157159624,2.61151240232268e-95
Xu G. (Lung),Lung,Club cells,CLDN18,-0.913025078173203,3.41727848666119e-95
Xu G. (Lung),Lung,Club cells,RTKN2,-1.0742820255502,3.95872105508136e-93
Xu G. (Lung),Lung,Club cells,NRGN,0.337288281989182,5.20535967824636e-92
Xu G. (Lung),Lung,Club cells,AQP4,-1.20226010712582,3.93855261652123e-91
Xu G. (Lung),Lung,Club cells,CYP4B1,-1.32560045812057,5.82026230694191e-89
Xu G. (Lung),Lung,Club cells,PRSS8,-1.04867244463347,4.86985850507232e-77
Xu G. (Lung),Lung,Club cells,MAL2,0.388447143168633,1.10723194405174e-76
Xu G. (Lung),Lung,Club cells,MSLN,-1.39891558813645,4.98234633605665e-75
Xu G. (Lung),Lung,Club cells,SFTPA1,0.395303448805064,1.2259803331366e-74
Xu G. (Lung),Lung,Club cells,MS4A15,-0.989565254087516,3.91797582041385e-74
Xu G. (Lung),Lung,Club cells,LAMA3,-0.912916918012353,7.94504706753997e-74
Xu G. (Lung),Lung,Club cells,CLIC5,-1.16670571295713,5.82529262987163e-72
Xu G. (Lung),Lung,Club cells,CEACAM6,-1.39481813251928,1.82179341062058e-70
Xu G. (Lung),Lung,Club cells,SEMA3B,-1.08924122906171,8.76648824183174e-66
Xu G. (Lung),Lung,Club cells,GPRC5A,-1.20219753472522,1.38749816610167e-59
Xu G. (Lung),Lung,Club cells,HMGB3,0.465465136362056,1.77330289277371e-55
Xu G. (Lung),Lung,Club cells,KRT7,-1.14912182981145,1.13180640617099e-51
Xu G. (Lung),Lung,Club cells,FTH1,0.330205901926796,5.7946122024573e-51
Xu G. (Lung),Lung,Club cells,TSPAN13,-0.9052896456564,4.07179169201587e-49
